# Radial distribution function (1000 data points):
# "Pair separation distance" C-C
1.33425 1.6596628743 
1.33875 1.7244582826 
1.34325 1.7568054661 
1.34775 1.7956319462 
1.35225 1.8315189246 
1.35675 1.8983093019 
1.36125 1.9224396143 
1.36575 1.9745098901 
1.37025 2.0106991739 
1.37475 2.0648307577 
1.37925 2.0780407947 
1.38375 2.1159659791 
1.38825 2.1284684548 
1.39275 2.1559095645 
1.39725 2.2074045417 
1.40175 2.2195343715 
1.40625 2.1852749505 
1.41075 2.2079104764 
1.41525 2.2013398421 
1.41975 2.2472957753 
1.42425 2.2468069949 
1.42875 2.22075898 
1.43325 2.2235940044 
1.43775 2.2548830673 
1.44225 2.212258123 
1.44675 2.2185827017 
1.45125 2.187955452 
1.45575 2.1951338879 
1.46025 2.1848542631 
1.46475 2.1295188375 
1.46925 2.1316971656 
1.47375 2.1200727041 
1.47825 2.0844997605 
1.48275 2.0649769477 
1.48725 2.0603852343 
1.49175 1.9873323464 
1.49625 1.9838023948 
1.50075 1.9699873187 
1.50525 1.927738153 
1.50975 1.8705519298 
1.51425 1.855347121 
1.51875 1.8259618938 
1.52325 1.7858131324 
1.52775 1.7549545256 
1.53225 1.7516996457 
1.53675 1.6671135351 
1.54125 1.6525621435 
1.54575 1.594256338 
1.55025 1.5928448303 
1.55475 1.540628796 
1.55925 1.497200513 
1.56375 1.4837156014 
1.56825 1.4242631005 
1.57275 1.4233614357 
1.57725 1.3578698568 
1.58175 1.3314420535 
1.58625 1.2973566766 
1.59075 1.2646327652 
1.59525 1.242537758 
1.59975 1.1913469127 
1.60425 1.1696915348 
1.60875 1.1447124515 
1.61325 1.1014753645 
1.61775 1.0900945753 
1.62225 1.0633003056 
1.62675 1.0301076732 
1.63125 0.9764792854 
1.63575 0.9720575235 
1.64025 0.9425906376 
1.64475 0.9217451871 
1.64925 0.897062954 
1.65375 0.8712087953 
1.65825 0.8543850369 
1.66275 0.8288483937 
1.66725 0.7991162885 
1.67175 0.7685422196 
1.67625 0.7612359304 
1.68075 0.7284871231 
1.68525 0.7168443368 
1.68975 0.700251276 
1.69425 0.6761488219 
1.69875 0.6471222487 
1.70325 0.6422834072 
1.70775 0.604357046 
1.71225 0.6045505827 
1.71675 0.5869016946 
1.72125 0.5770202165 
1.72575 0.5672336891 
1.73025 0.5441257057 
1.73475 0.541230146 
1.73925 0.5117276653 
1.74375 0.5098446661 
1.74825 0.4955846325 
1.75275 0.4879633396 
1.75725 0.4710490178 
1.76175 0.4620648552 
1.76625 0.4533131509 
1.77075 0.4436196332 
1.77525 0.4273188382 
1.77975 0.4247259423 
1.78425 0.4056453324 
1.78875 0.4069063525 
1.79325 0.3957317108 
1.79775 0.3926168889 
1.80225 0.3877617955 
1.80675 0.3707874133 
1.81125 0.3825886765 
1.81575 0.3629442395 
1.82025 0.3542946109 
1.82475 0.3603378004 
1.82925 0.3370311286 
1.83375 0.34411498 
1.83825 0.3294603212 
1.84275 0.331637942 
1.84725 0.3309657162 
1.85175 0.3263472712 
1.85625 0.3281637647 
1.86075 0.3163707881 
1.86525 0.3215744393 
1.86975 0.3189780617 
1.87425 0.3096736857 
1.87875 0.3121581802 
1.88325 0.3078856785 
1.88775 0.3114428304 
1.89225 0.3032974175 
1.89675 0.2982876841 
1.90125 0.3123688041 
1.90575 0.3041972168 
1.91025 0.3057845552 
1.91475 0.3040985597 
1.91925 0.2998705203 
1.92375 0.3122981897 
1.92825 0.2993615856 
1.93275 0.3120997072 
1.93725 0.3096730215 
1.94175 0.3027611652 
1.94625 0.3135408407 
1.95075 0.3184886447 
1.95525 0.3153434604 
1.95975 0.3179005683 
1.96425 0.3250110944 
1.96875 0.3213954444 
1.97325 0.332839289 
1.97775 0.3264565274 
1.98225 0.3309335054 
1.98675 0.3319362039 
1.99125 0.3385408404 
1.99575 0.3428354438 
2.00025 0.3473174591 
2.00475 0.3554104281 
2.00925 0.3552414206 
2.01375 0.3651440937 
2.01825 0.3755747753 
2.02275 0.3691938757 
2.02725 0.3746486779 
2.03175 0.3882797357 
2.03625 0.3928200466 
2.04075 0.4023312543 
2.04525 0.4136752871 
2.04975 0.4150290857 
2.05425 0.4190319009 
2.05875 0.4353954376 
2.06325 0.4335522037 
2.06775 0.443153989 
2.07225 0.4509047297 
2.07675 0.4614576712 
2.08125 0.4668818882 
2.08575 0.4804319403 
2.09025 0.4862971827 
2.09475 0.4923168527 
2.09925 0.5003636056 
2.10375 0.5072481175 
2.10825 0.5268746168 
2.11275 0.5323961758 
2.11725 0.5478493195 
2.12175 0.55924132 
2.12625 0.5719026917 
2.13075 0.586474204 
2.13525 0.5904982597 
2.13975 0.5999970696 
2.14425 0.6161994501 
2.14875 0.6242086026 
2.15325 0.6349669055 
2.15775 0.6531718433 
2.16225 0.6663111573 
2.16675 0.6841263927 
2.17125 0.6799791825 
2.17575 0.7019911414 
2.18025 0.7022345453 
2.18475 0.7223276286 
2.18925 0.7334390882 
2.19375 0.7543247549 
2.19825 0.7738461133 
2.20275 0.7809041151 
2.20725 0.7936922468 
2.21175 0.8016315597 
2.21625 0.8222089438 
2.22075 0.8377734642 
2.22525 0.8502392658 
2.22975 0.871645133 
2.23425 0.8732866616 
2.23875 0.8898812649 
2.24325 0.897807422 
2.24775 0.9118861199 
2.25225 0.9325863975 
2.25675 0.9441020045 
2.26125 0.9590195399 
2.26575 0.9727830169 
2.27025 0.9922631153 
2.27475 1.0030216611 
2.27925 1.0130249349 
2.28375 1.0363626204 
2.28825 1.0315015291 
2.29275 1.0545682873 
2.29725 1.0784032932 
2.30175 1.087186077 
2.30625 1.09442511 
2.31075 1.1077458255 
2.31525 1.1276337866 
2.31975 1.1234763585 
2.32425 1.1424958888 
2.32875 1.1583555115 
2.33325 1.1755598599 
2.33775 1.1870801044 
2.34225 1.1916426816 
2.34675 1.2116636607 
2.35125 1.2162045124 
2.35575 1.2283524393 
2.36025 1.2480204046 
2.36475 1.2405664253 
2.36925 1.2629648605 
2.37375 1.2644125512 
2.37825 1.2785404475 
2.38275 1.2837405743 
2.38725 1.2899394716 
2.39175 1.3198330881 
2.39625 1.3136016356 
2.40075 1.3295467901 
2.40525 1.3457602312 
2.40975 1.3472203246 
2.41425 1.3389346549 
2.41875 1.3486678084 
2.42325 1.3722720227 
2.42775 1.3777806638 
2.43225 1.3660146411 
2.43675 1.3914695292 
2.44125 1.3992447636 
2.44575 1.3919903065 
2.45025 1.3964386225 
2.45475 1.4043489161 
2.45925 1.4108638737 
2.46375 1.4132386044 
2.46825 1.4147202295 
2.47275 1.4330718557 
2.47725 1.4180346324 
2.48175 1.4164367121 
2.48625 1.4271672698 
2.49075 1.4223849781 
2.49525 1.4312659957 
2.49975 1.4243179291 
2.50425 1.4196428311 
2.50875 1.4311821721 
2.51325 1.4278783543 
2.51775 1.4265802083 
2.52225 1.4248854045 
