#The following results were obtained by SHC method with NEP3 potential.  
#frequency(THz)  kappa(omega) (W/m/K/THz)
40.107046    0.004596
40.234370    0.004753
40.361694    0.004814
40.489018    0.004736
40.616341    0.004505
40.743665    0.004141
40.870989    0.003827
40.998313    0.003560
41.125637    0.003288
41.252961    0.002992
41.380285    0.002686
41.507609    0.002301
41.634933    0.001994
41.762257    0.001926
41.889581    0.002059
42.016905    0.002229
42.144229    0.002351
42.271553    0.002343
42.398877    0.002199
42.526201    0.001988
42.653525    0.001861
42.780849    0.002075
42.908173    0.002420
43.035497    0.002630
43.162821    0.002700
43.290145    0.002543
43.417468    0.002279
43.544792    0.001931
43.672116    0.001591
43.799440    0.001439
43.926764    0.001307
44.054088    0.001196
44.181412    0.001142
44.308736    0.001243
44.436060    0.001321
44.563384    0.001357
44.690708    0.001419
44.818032    0.001422
44.945356    0.001368
45.072680    0.001279
45.200004    0.001212
45.327328    0.001140
45.454652    0.001090
45.581976    0.001075
45.709300    0.001081
45.836624    0.001097
45.963948    0.001109
46.091272    0.001107
46.218595    0.001079
46.345919    0.001023
46.473243    0.000953
46.600567    0.000864
46.727891    0.000774
46.855215    0.000694
46.982539    0.000642
47.109863    0.000632
47.237187    0.000631
47.364511    0.000588
47.491835    0.000540
47.619159    0.000506
47.746483    0.000467
47.873807    0.000423
48.001131    0.000402
48.128455    0.000374
48.255779    0.000343
48.383103    0.000315
48.510427    0.000299
48.637751    0.000286
48.765075    0.000285
48.892399    0.000294
49.019722    0.000292
49.147046    0.000292
49.274370    0.000324
49.401694    0.000369
49.529018    0.000418
49.656342    0.000467
49.783666    0.000507
49.910990    0.000534
50.038314    0.000544
50.165638    0.000537
50.292962    0.000503
50.420286    0.000467
50.547610    0.000425
50.674934    0.000382
50.802258    0.000343
50.929582    0.000310
51.056906    0.000280
51.184230    0.000254
51.311554    0.000236
51.438878    0.000224
51.566202    0.000209
51.693526    0.000189
51.820849    0.000167
51.948173    0.000157
52.075497    0.000143
52.202821    0.000122
52.330145    0.000102
52.457469    0.000089
52.584793    0.000083
52.712117    0.000076
52.839441    0.000066
52.966765    0.000054
53.094089    0.000044
53.221413    0.000036
53.348737    0.000032
53.476061    0.000028
53.603385    0.000024
53.730709    0.000020
53.858033    0.000031
53.985357    0.000041
54.112681    0.000054
54.240005    0.000066
54.367329    0.000076
54.494653    0.000080
54.621976    0.000081
54.749300    0.000085
54.876624    0.000091
55.003948    0.000094
55.131272    0.000095
55.258596    0.000094
55.385920    0.000087
55.513244    0.000076
55.640568    0.000066
55.767892    0.000061
55.895216    0.000057
56.022540    0.000052
56.149864    0.000046
56.277188    0.000042
56.404512    0.000037
56.531836    0.000032
56.659160    0.000027
56.786484    0.000024
56.913808    0.000026
57.041132    0.000029
57.168456    0.000031
57.295780    0.000031
57.423103    0.000031
57.550427    0.000031
57.677751    0.000033
57.805075    0.000036
57.932399    0.000042
58.059723    0.000047
58.187047    0.000049
58.314371    0.000051
58.441695    0.000055
58.569019    0.000060
58.696343    0.000065
58.823667    0.000074
58.950991    0.000080
59.078315    0.000083
59.205639    0.000083
59.332963    0.000082
59.460287    0.000078
59.587611    0.000074
59.714935    0.000069
59.842259    0.000065
59.969583    0.000063
60.096907    0.000061
60.224230    0.000060
60.351554    0.000058
60.478878    0.000054
60.606202    0.000048
60.733526    0.000040
60.860850    0.000032
60.988174    0.000023
61.115498    0.000018
61.242822    0.000014
61.370146    0.000011
61.497470    0.000009
61.624794    0.000010
61.752118    0.000015
61.879442    0.000021
62.006766    0.000026
62.134090    0.000029
62.261414    0.000030
62.388738    0.000029
62.516062    0.000027
62.643386    0.000026
62.770710    0.000025
62.898034    0.000023
63.025357    0.000020
63.152681    0.000017
63.280005    0.000014
63.407329    0.000012
63.534653    0.000012
63.661977    0.000012
